idx,url
104,https://it.tdtu.edu.vn/user/login?destination=/tieu-chi-danh-gia-cac-mon-ky-nang-0%23comment-form
105,https://it.tdtu.edu.vn/trai-he-sinh-vien-khoa-cntt-nam-2019
106,https://it.tdtu.edu.vn/en/giao-duc/nganh-mang-may-tinh-va-truyen-thong-du-lieu
107,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-tnhh-tich-hop-he-thong-cmc-sai-gon
108,https://it.tdtu.edu.vn/user/login?destination=/dien-dan-doanh-nghiep-quoc-te-ve-dau-tu-thuong-mai-va-du-lich-2022%23comment-form
109,https://it.tdtu.edu.vn/user/login?destination=/doan-giam-sat-cua-tong-lien-doan-lao-dong-viet-nam-lam-viec-tai-truong-dai-hoc-ton-duc-thang%23comment-form
110,https://it.tdtu.edu.vn/apps-cyclone-tuyen-dung-thuc-tap-sinh-2
111,https://it.tdtu.edu.vn/nhan-chung-chi-giao-duc-quoc-phong-va-giao-duc-the-chat
112,https://it.tdtu.edu.vn/tuyen-dung-gameloft-06-2017
113,https://it.tdtu.edu.vn/user/login?destination=/tap-doan-dong-tam-tuyen-dung%23comment-form
114,https://it.tdtu.edu.vn/en/user/login?destination=/en/regular-program-in-computer-science-7480101%23comment-form
115,https://it.tdtu.edu.vn/user/login?destination=/ke-hoach-to-chuc-lop-on-tap-cho-sv-duoc-gia-han-dao-tao-dot-thang-12022-lop-vet%23comment-form
116,https://it.tdtu.edu.vn/en/user/login?destination=/en/computer-science-and-information-technology-joint-program%23comment-form
117,https://it.tdtu.edu.vn/geocomply-cuoc-thi-sang-kien-cong-nghe-truc-tuyen-hacking-child-protection
118,https://it.tdtu.edu.vn/user/login?destination=/seminar-huong-nghiep-co-hoi-viec-lam-tai-nhat-ban%23comment-form
119,https://it.tdtu.edu.vn/user/login?destination=/mono-studio-tuyen-dung%23comment-form
120,https://it.tdtu.edu.vn/thong-tin-tuyen-internship-tai-phong-dien-toan-may-tinh
121,https://it.tdtu.edu.vn/truong-dh-ton-duc-thang-to-chuc-dau-cau-truc-tuyen-hoi-nghi-toan-quoc-quan-triet-trien-khai-tong
122,https://it.tdtu.edu.vn/thong-bao-tuyen-dung-cong-ty-nielsen-vietnam
123,https://it.tdtu.edu.vn/ke-hoach-to-chuc-lop-vet-t122019
124,https://it.tdtu.edu.vn/cong-ty-phat-kien-gia-tuyen-dung-thuc-tap-sinh-developer-webapp
125,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-tiep-va-lam-viec-voi-doan-truong-dai-hoc-tomas-bata-va-truong-dai-hoc
126,https://it.tdtu.edu.vn/user/login?destination=/chuong-trinh-mwg-software-fresher-tu-gioi-di-dong%23comment-form
127,http://it.tdtu.edu.vn/taxonomy/term/69?page=2
128,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-tma-1
129,http://it.tdtu.edu.vn/taxonomy/term/69
130,http://it.tdtu.edu.vn/tin-tuc/hop-tac-doanh-nghiep
131,http://it.tdtu.edu.vn/06-du-an-tieu-bieu-vao-vong-chung-ket-cuoc-thi-tech-start-up-challenger-2023
132,https://it.tdtu.edu.vn/user/login?destination=/chuong-trinh-van-nghe-mung-ky-niem-12-nam-thanh-lap-khoa-cong-nghe-thong-tin%23comment-form
133,http://it.tdtu.edu.vn/taxonomy/term/92
134,http://it.tdtu.edu.vn/tin-tuc/thong-bao-hoc-vu?page=4
135,http://it.tdtu.edu.vn/tuan-trien-lam-nghien-cuu-khoa-hoc-sinh-vien-khoa-cong-nghe-thong-tin-nam-hoc-2023-2024
136,http://it.tdtu.edu.vn/taxonomy/term/71
137,https://it.tdtu.edu.vn/user/login?destination=/trung-tam-internet-viet-nam-bo-tttt-tuyen-dung%23comment-form
138,https://it.tdtu.edu.vn/user/login?destination=/cong-ty-singalarity-tuyen-thuc-tap-sinh-thiet-ke-ui-ux-web-app%23comment-form
139,https://it.tdtu.edu.vn/user/login?destination=/cong-ty-dxc-vietnam-tuyen-dung-ung-vien-cho-chuong-trinh-internship-program%23comment-form
140,https://it.tdtu.edu.vn/fujinet-tuyen-dung-ky-su-phan-mem-thang-012022
